"Algún contenido ha sido publicado.","Comentario creado","Curso visto","Entrega creada.","Finalización de actividad de curso actualizada","Formulario de entrega visto.","Ha comenzado el intento","Intento de cuestionario visualizado","Intento del cuestionario revisado","Intento enviado","Mensaje creado","Módulo de curso visto","Perfil de usuario visto","Resumen del intento de cuestionario visualizado","Se ha enviado una entrega","Se ha suscrito a esta discusión","Se ha visualizado el estado de la entrega.","Tema creado","Tema visto","Un fichero ha sido subido.","Usuario calificado","Lista de usuarios vista","Mensaje borrado","Se ha borrado la suscripción de esta discusión","Tema borrado","Informe de notas de usuario visto","Mensaje actualizado","Instancia del módulo del curso visualizada","Informe de resumen de notas visto","Lista de insignias vista","Envío actualizado.","Usuario matriculado en el curso","Elemento de calificación actualizado","Informe del usuario visualizado","Informe usuario del curso visto","Suscripción activada","Curso actualizado","Elemento de calificación creado",completo
"0","0","64","0","0","0","0","0","0","0","0","14","1","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0
"0","0","28","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0
"1","0","357","0","0","0","2","3","2","1","1","60","6","1","0","1","1","0","22","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1
"7","0","358","0","0","0","1","11","1","1","3","139","25","1","0","6","2","4","53","0","1","12","0","3","0","4","0","0","1","2","0","0","0","0","0","1","0","0",1
"0","0","173","0","13","0","1","3","2","1","0","48","0","2","0","0","1","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0
"0","0","87","0","9","0","0","0","0","0","0","31","0","0","0","0","0","0","22","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0",0
"2","0","178","0","0","0","1","2","2","1","1","39","1","1","0","1","0","1","22","0","1","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1
"2","0","114","0","0","0","0","0","0","0","0","42","2","0","0","1","1","1","36","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0",0
"2","0","99","0","7","0","0","0","0","0","1","18","6","0","0","1","0","1","4","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0",0
